,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zamkniecie_Prev_1,Zamkniecie_Prev_2,Zamkniecie_Prev_3,Zamkniecie_Prev_4,Zamkniecie_Prev_5,Zamkniecie_Prev_6,Zamkniecie_Prev_7,Zamkniecie_Prev_8,Zamkniecie_Prev_9,Zamkniecie_Prev_10
0,1999-11-26,14.5689,14.6977,14.0412,14.4983,16617892.514179,14.2397,14.4983,14.9563,15.2235,15.4191,16.0079,15.7474,15.8771,15.7474,15.6787
1,1999-11-29,14.4315,14.4983,14.172,14.2397,5763072.9672955,14.4983,14.9563,15.2235,15.4191,16.0079,15.7474,15.8771,15.7474,15.6787,15.5508
2,1999-11-30,14.3704,14.6281,14.3704,14.4983,3444816.7024504,14.9563,15.2235,15.4191,16.0079,15.7474,15.8771,15.7474,15.6787,15.5508,16.0079
3,1999-12-01,14.6281,14.9563,14.4983,14.9563,3225431.596887,15.2235,15.4191,16.0079,15.7474,15.8771,15.7474,15.6787,15.5508,16.0079,15.8103
4,1999-12-02,15.0937,15.5508,15.0241,15.2235,3462555.9385346,15.4191,16.0079,15.7474,15.8771,15.7474,15.6787,15.5508,16.0079,15.8103,15.6109
5,1999-12-03,15.2235,15.4821,15.0937,15.4191,2471057.6659947,16.0079,15.7474,15.8771,15.7474,15.6787,15.5508,16.0079,15.8103,15.6109,15.5508
6,1999-12-06,15.5508,16.0756,15.5508,16.0079,3149244.1611875,15.7474,15.8771,15.7474,15.6787,15.5508,16.0079,15.8103,15.6109,15.5508,15.9458
7,1999-12-07,15.9458,16.0079,15.7474,15.7474,2542668.55275,15.8771,15.7474,15.6787,15.5508,16.0079,15.8103,15.6109,15.5508,15.9458,16.0079
8,1999-12-08,15.7474,16.1367,15.7474,15.8771,3990031.7619443,15.7474,15.6787,15.5508,16.0079,15.8103,15.6109,15.5508,15.9458,16.0079,16.7922
9,1999-12-09,15.8771,15.8771,15.4821,15.7474,2634009.8464149,15.6787,15.5508,16.0079,15.8103,15.6109,15.5508,15.9458,16.0079,16.7922,16.7922
10,1999-12-10,15.8771,15.8771,15.6109,15.6787,1962959.0786693,15.5508,16.0079,15.8103,15.6109,15.5508,15.9458,16.0079,16.7922,16.7922,16.9287
11,1999-12-13,15.6109,15.7474,15.4821,15.5508,1653049.0594795,16.0079,15.8103,15.6109,15.5508,15.9458,16.0079,16.7922,16.7922,16.9287,16.5327
12,1999-12-14,15.7474,16.0079,15.7474,16.0079,3312683.6544675,15.8103,15.6109,15.5508,15.9458,16.0079,16.7922,16.7922,16.9287,16.5327,17.1281
13,1999-12-15,15.9458,15.9458,15.7474,15.8103,1373691.9846271,15.6109,15.5508,15.9458,16.0079,16.7922,16.7922,16.9287,16.5327,17.1281,17.5165
14,1999-12-16,15.7474,15.7474,15.5508,15.6109,1535765.9539148,15.5508,15.9458,16.0079,16.7922,16.7922,16.9287,16.5327,17.1281,17.5165,16.7922
15,1999-12-17,15.6109,15.7474,15.5508,15.5508,1413541.6007494,15.9458,16.0079,16.7922,16.7922,16.9287,16.5327,17.1281,17.5165,16.7922,16.6014
16,1999-12-20,15.7474,15.9458,15.6787,15.9458,2553428.2110992,16.0079,16.7922,16.7922,16.9287,16.5327,17.1281,17.5165,16.7922,16.6014,16.9287
17,1999-12-21,15.8103,16.2731,15.8103,16.0079,1667785.819556,16.7922,16.7922,16.9287,16.5327,17.1281,17.5165,16.7922,16.6014,16.9287,17.714
18,1999-12-22,16.4048,16.9287,16.4048,16.7922,3001257.2014965,16.7922,16.9287,16.5327,17.1281,17.5165,16.7922,16.6014,16.9287,17.714,17.9125
19,1999-12-23,16.8619,17.0585,16.7321,16.7922,1369571.3090033,16.9287,16.5327,17.1281,17.5165,16.7922,16.6014,16.9287,17.714,17.9125,17.5842
20,1999-12-27,16.8619,17.2569,16.8619,16.9287,1613990.671764,16.5327,17.1281,17.5165,16.7922,16.6014,16.9287,17.714,17.9125,17.5842,17.5165
21,1999-12-28,16.8619,16.8619,16.4659,16.5327,1174768.7792554,17.1281,17.5165,16.7922,16.6014,16.9287,17.714,17.9125,17.5842,17.5165,18.0422
22,1999-12-29,16.5327,17.1281,16.5327,17.1281,2108626.8483411,17.5165,16.7922,16.6014,16.9287,17.714,17.9125,17.5842,17.5165,18.0422,17.9125
23,2000-01-03,17.4554,17.714,17.1892,17.5165,1683920.5911489,16.7922,16.6014,16.9287,17.714,17.9125,17.5842,17.5165,18.0422,17.9125,17.7837
24,2000-01-04,17.0585,17.0585,16.6625,16.7922,2066896.0997812,16.6014,16.9287,17.714,17.9125,17.5842,17.5165,18.0422,17.9125,17.7837,17.3867
25,2000-01-05,16.2063,16.7321,16.2063,16.6014,2849387.4586962,16.9287,17.714,17.9125,17.5842,17.5165,18.0422,17.9125,17.7837,17.3867,17.4554
26,2000-01-06,16.6625,16.9907,16.4659,16.9287,1722292.5489219,17.714,17.9125,17.5842,17.5165,18.0422,17.9125,17.7837,17.3867,17.4554,17.714
27,2000-01-07,17.1892,17.9125,17.1892,17.714,4388441.9884266,17.9125,17.5842,17.5165,18.0422,17.9125,17.7837,17.3867,17.4554,17.714,17.8428
28,2000-01-10,17.7837,18.6339,17.7837,17.9125,4625158.6640473,17.5842,17.5165,18.0422,17.9125,17.7837,17.3867,17.4554,17.714,17.8428,17.318
29,2000-01-11,17.6453,17.7837,17.2569,17.5842,1765831.0709943,17.5165,18.0422,17.9125,17.7837,17.3867,17.4554,17.714,17.8428,17.318,16.6625
30,2000-01-12,17.1892,17.5165,17.1892,17.5165,1432122.3685035,18.0422,17.9125,17.7837,17.3867,17.4554,17.714,17.8428,17.318,16.6625,16.6625
31,2000-01-13,17.5842,18.1711,17.5842,18.0422,2244230.8214679,17.9125,17.7837,17.3867,17.4554,17.714,17.8428,17.318,16.6625,16.6625,16.9287
32,2000-01-14,18.0422,18.3085,17.714,17.9125,4217223.3051275,17.7837,17.3867,17.4554,17.714,17.8428,17.318,16.6625,16.6625,16.9287,16.7321
33,2000-01-17,17.714,17.9125,17.714,17.7837,1854049.3704173,17.3867,17.4554,17.714,17.8428,17.318,16.6625,16.6625,16.9287,16.7321,16.4659
34,2000-01-18,17.8428,17.9125,17.2569,17.3867,1306142.0383707,17.4554,17.714,17.8428,17.318,16.6625,16.6625,16.9287,16.7321,16.4659,16.2731
35,2000-01-19,17.1281,17.5165,17.1281,17.4554,1622719.3358714,17.714,17.8428,17.318,16.6625,16.6625,16.9287,16.7321,16.4659,16.2731,16.4048
