,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Zamkniecie_Prev_1,Zamkniecie_Prev_2,Zamkniecie_Prev_3,Zamkniecie_Prev_4,Zamkniecie_Prev_5,Zamkniecie_Prev_6,Zamkniecie_Prev_7,Zamkniecie_Prev_8,Zamkniecie_Prev_9,Zamkniecie_Prev_10
10,1999-12-10,15.8771,15.8771,15.6109,15.6787,1962959.0786693,,,,,,,,,,
11,1999-12-13,15.6109,15.7474,15.4821,15.5508,1653049.0594795,15.6787,,,,,,,,,
12,1999-12-14,15.7474,16.0079,15.7474,16.0079,3312683.6544675,15.5508,15.6787,,,,,,,,
13,1999-12-15,15.9458,15.9458,15.7474,15.8103,1373691.9846271,16.0079,15.5508,15.6787,,,,,,,
14,1999-12-16,15.7474,15.7474,15.5508,15.6109,1535765.9539148,15.8103,16.0079,15.5508,15.6787,,,,,,
15,1999-12-17,15.6109,15.7474,15.5508,15.5508,1413541.6007494,15.6109,15.8103,16.0079,15.5508,15.6787,,,,,
16,1999-12-20,15.7474,15.9458,15.6787,15.9458,2553428.2110992,15.5508,15.6109,15.8103,16.0079,15.5508,15.6787,,,,
17,1999-12-21,15.8103,16.2731,15.8103,16.0079,1667785.819556,15.9458,15.5508,15.6109,15.8103,16.0079,15.5508,15.6787,,,
18,1999-12-22,16.4048,16.9287,16.4048,16.7922,3001257.2014965,16.0079,15.9458,15.5508,15.6109,15.8103,16.0079,15.5508,15.6787,,
19,1999-12-23,16.8619,17.0585,16.7321,16.7922,1369571.3090033,16.7922,16.0079,15.9458,15.5508,15.6109,15.8103,16.0079,15.5508,15.6787,
20,1999-12-27,16.8619,17.2569,16.8619,16.9287,1613990.671764,16.7922,16.7922,16.0079,15.9458,15.5508,15.6109,15.8103,16.0079,15.5508,15.6787
21,1999-12-28,16.8619,16.8619,16.4659,16.5327,1174768.7792554,16.9287,16.7922,16.7922,16.0079,15.9458,15.5508,15.6109,15.8103,16.0079,15.5508
22,1999-12-29,16.5327,17.1281,16.5327,17.1281,2108626.8483411,16.5327,16.9287,16.7922,16.7922,16.0079,15.9458,15.5508,15.6109,15.8103,16.0079
23,2000-01-03,17.4554,17.714,17.1892,17.5165,1683920.5911489,17.1281,16.5327,16.9287,16.7922,16.7922,16.0079,15.9458,15.5508,15.6109,15.8103
24,2000-01-04,17.0585,17.0585,16.6625,16.7922,2066896.0997812,17.5165,17.1281,16.5327,16.9287,16.7922,16.7922,16.0079,15.9458,15.5508,15.6109
25,2000-01-05,16.2063,16.7321,16.2063,16.6014,2849387.4586962,16.7922,17.5165,17.1281,16.5327,16.9287,16.7922,16.7922,16.0079,15.9458,15.5508
26,2000-01-06,16.6625,16.9907,16.4659,16.9287,1722292.5489219,16.6014,16.7922,17.5165,17.1281,16.5327,16.9287,16.7922,16.7922,16.0079,15.9458
