,Movie_1,Movie_2,Movie_3,Movie_4,Movie_5,Movie_6,Movie_7,Movie_8,Movie_9,Movie_10,Movie_11,Movie_12,Movie_13,Movie_14,Movie_15,Movie_16,Movie_17,Movie_18,Movie_19,Movie_20
User_1,4.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,2.0,4.0,2.0,4.0,5.0,1.0,
User_2,,5.0,4.0,1.0,1.0,3.0,,2.0,,4.0,3.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,1.0,2.0
User_3,4.0,1.0,4.0,,2.0,1.0,2.0,5.0,2.0,4.0,,4.0,4.0,5.0,3.0,1.0,4.0,2.0,4.0,2.0
User_4,2.0,4.0,5.0,2.0,2.0,4.0,,2.0,4.0,4.0,1.0,5.0,,2.0,5.0,2.0,,4.0,4.0,4.0
User_5,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,2.0,,1.0
User_6,4.0,1.0,4.0,2.0,1.0,5.0,3.0,4.0,3.0,3.0,1.0,3.0,5.0,3.0,1.0,5.0,2.0,,,2.0
User_7,2.0,4.0,5.0,3.0,1.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,,3.0,3.0,,2.0,,5.0
User_8,1.0,5.0,4.0,4.0,4.0,4.0,4.0,,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,5.0,1.0,3.0
User_9,3.0,1.0,5.0,1.0,3.0,,4.0,3.0,,4.0,1.0,1.0,2.0,4.0,,2.0,3.0,1.0,5.0,1.0
User_10,1.0,3.0,1.0,2.0,,4.0,5.0,1.0,1.0,3.0,2.0,5.0,4.0,2.0,4.0,3.0,3.0,1.0,5.0,4.0
User_11,2.0,3.0,,1.0,4.0,3.0,5.0,3.0,4.0,4.0,,4.0,3.0,2.0,3.0,3.0,,,1.0,
User_12,,,3.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,,4.0,4.0,1.0,,,4.0,5.0,5.0
User_13,3.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,,3.0,1.0,4.0,4.0,3.0,1.0,3.0,1.0,5.0,2.0,2.0
User_14,2.0,3.0,5.0,1.0,4.0,1.0,4.0,1.0,5.0,4.0,3.0,1.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0
User_15,2.0,5.0,1.0,4.0,1.0,5.0,4.0,5.0,,4.0,3.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0
User_16,5.0,5.0,1.0,5.0,3.0,4.0,1.0,4.0,,5.0,1.0,3.0,,1.0,2.0,2.0,3.0,2.0,2.0,3.0
User_17,2.0,2.0,2.0,,1.0,,3.0,5.0,2.0,2.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,5.0,4.0
User_18,1.0,4.0,3.0,,2.0,2.0,3.0,,2.0,5.0,2.0,,1.0,4.0,2.0,3.0,4.0,5.0,1.0,5.0
User_19,4.0,,,5.0,4.0,5.0,4.0,3.0,4.0,5.0,2.0,4.0,,3.0,1.0,3.0,4.0,2.0,2.0,5.0
User_20,2.0,5.0,1.0,4.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,,,1.0,5.0,5.0,5.0,3.0,4.0,2.0
User_21,3.0,5.0,1.0,5.0,4.0,5.0,1.0,,5.0,4.0,2.0,2.0,5.0,4.0,1.0,5.0,2.0,2.0,5.0,
User_22,,4.0,2.0,2.0,3.0,2.0,1.0,5.0,5.0,4.0,,1.0,,,4.0,4.0,2.0,3.0,4.0,1.0
User_23,,5.0,3.0,3.0,5.0,,3.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,3.0
User_24,1.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,,4.0,2.0,,2.0,5.0,3.0,5.0,4.0,1.0,5.0,5.0
User_25,1.0,4.0,,5.0,1.0,3.0,,3.0,4.0,2.0,1.0,5.0,4.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0
User_26,4.0,1.0,,,3.0,1.0,4.0,4.0,5.0,1.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0
User_27,4.0,1.0,4.0,3.0,5.0,4.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,5.0,3.0,5.0,3.0,3.0,2.0,4.0
User_28,,2.0,2.0,4.0,1.0,5.0,5.0,2.0,1.0,2.0,3.0,2.0,2.0,,5.0,5.0,3.0,5.0,,4.0
User_29,1.0,1.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,2.0,4.0
User_30,4.0,5.0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,1.0,1.0,1.0,5.0,,4.0,5.0,5.0,5.0,5.0,5.0
User_31,3.0,4.0,5.0,4.0,,3.0,4.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0,1.0,3.0,4.0,2.0,4.0,4.0
